"DATE","TIME PERIOD","Monetary aggregate M3 reported by MFIs, central gov. and post office giro institutions in the euro area (stocks) (BSI.M.U2.N.V.M30.X.1.U2.2300.Z01.E)"
"1980-01-31","1980Jan","1107100"
"1980-02-29","1980Feb","1107384"
"1980-03-31","1980Mar","1119526"
"1980-04-30","1980Apr","1121677"
"1980-05-31","1980May","1127563"
"1980-06-30","1980Jun","1142412"
"1980-07-31","1980Jul","1148139"
"1980-08-31","1980Aug","1147865"
"1980-09-30","1980Sep","1155084"
"1980-10-31","1980Oct","1159637"
"1980-11-30","1980Nov","1186620"
"1980-12-31","1980Dec","1230451"
"1981-01-31","1981Jan","1219922"
"1981-02-28","1981Feb","1226929"
"1981-03-31","1981Mar","1235037"
"1981-04-30","1981Apr","1242420"
"1981-05-31","1981May","1258407"
"1981-06-30","1981Jun","1268356"
"1981-07-31","1981Jul","1269429"
"1981-08-31","1981Aug","1268614"
"1981-09-30","1981Sep","1282692"
"1981-10-31","1981Oct","1286505"
"1981-11-30","1981Nov","1304605"
"1981-12-31","1981Dec","1356895"
"1982-01-31","1982Jan","1355428"
"1982-02-28","1982Feb","1360752"
"1982-03-31","1982Mar","1366808"
"1982-04-30","1982Apr","1371844"
"1982-05-31","1982May","1384283"
"1982-06-30","1982Jun","1404812"
"1982-07-31","1982Jul","1411299"
"1982-08-31","1982Aug","1415708"
"1982-09-30","1982Sep","1428063"
"1982-10-31","1982Oct","1436243"
"1982-11-30","1982Nov","1450665"
"1982-12-31","1982Dec","1511643"
"1983-01-31","1983Jan","1505476"
"1983-02-28","1983Feb","1507165"
"1983-03-31","1983Mar","1504016"
"1983-04-30","1983Apr","1513358"
"1983-05-31","1983May","1524104"
"1983-06-30","1983Jun","1538656"
"1983-07-31","1983Jul","1552104"
"1983-08-31","1983Aug","1547855"
"1983-09-30","1983Sep","1553088"
"1983-10-31","1983Oct","1567503"
"1983-11-30","1983Nov","1584090"
"1983-12-31","1983Dec","1647621"
"1984-01-31","1984Jan","1633989"
"1984-02-29","1984Feb","1630341"
"1984-03-31","1984Mar","1630393"
"1984-04-30","1984Apr","1643651"
"1984-05-31","1984May","1653436"
"1984-06-30","1984Jun","1667878"
"1984-07-31","1984Jul","1680205"
"1984-08-31","1984Aug","1676482"
"1984-09-30","1984Sep","1703224"
"1984-10-31","1984Oct","1702022"
"1984-11-30","1984Nov","1713265"
"1984-12-31","1984Dec","1788789"
"1985-01-31","1985Jan","1775445"
"1985-02-28","1985Feb","1781459"
"1985-03-31","1985Mar","1789683"
"1985-04-30","1985Apr","1795251"
"1985-05-31","1985May","1793439"
"1985-06-30","1985Jun","1817711"
"1985-07-31","1985Jul","1821939"
"1985-08-31","1985Aug","1813648"
"1985-09-30","1985Sep","1830823"
"1985-10-31","1985Oct","1832386"
"1985-11-30","1985Nov","1844716"
"1985-12-31","1985Dec","1927935"
"1986-01-31","1986Jan","1903914"
"1986-02-28","1986Feb","1899678"
"1986-03-31","1986Mar","1917335"
"1986-04-30","1986Apr","1913747"
"1986-05-31","1986May","1919654"
"1986-06-30","1986Jun","1941360"
"1986-07-31","1986Jul","1948061"
"1986-08-31","1986Aug","1949333"
"1986-09-30","1986Sep","1964933"
"1986-10-31","1986Oct","1973445"
"1986-11-30","1986Nov","1999949"
"1986-12-31","1986Dec","2058939"
"1987-01-31","1987Jan","2042741"
"1987-02-28","1987Feb","2040476"
"1987-03-31","1987Mar","2049117"
"1987-04-30","1987Apr","2063878"
"1987-05-31","1987May","2081895"
"1987-06-30","1987Jun","2099060"
"1987-07-31","1987Jul","2102927"
"1987-08-31","1987Aug","2109087"
"1987-09-30","1987Sep","2125065"
"1987-10-31","1987Oct","2136405"
"1987-11-30","1987Nov","2162754"
"1987-12-31","1987Dec","2221564"
"1988-01-31","1988Jan","2209190"
"1988-02-29","1988Feb","2204634"
"1988-03-31","1988Mar","2203441"
"1988-04-30","1988Apr","2228918"
"1988-05-31","1988May","2246777"
"1988-06-30","1988Jun","2264736"
"1988-07-31","1988Jul","2285437"
"1988-08-31","1988Aug","2282197"
"1988-09-30","1988Sep","2294247"
"1988-10-31","1988Oct","2319681"
"1988-11-30","1988Nov","2341909"
"1988-12-31","1988Dec","2410010"
"1989-01-31","1989Jan","2393130"
"1989-02-28","1989Feb","2397747"
"1989-03-31","1989Mar","2410377"
"1989-04-30","1989Apr","2433580"
"1989-05-31","1989May","2446497"
"1989-06-30","1989Jun","2477739"
"1989-07-31","1989Jul","2504354"
"1989-08-31","1989Aug","2497201"
"1989-09-30","1989Sep","2515811"
"1989-10-31","1989Oct","2529928"
"1989-11-30","1989Nov","2557686"
"1989-12-31","1989Dec","2659927"
"1990-01-31","1990Jan","2637961"
"1990-02-28","1990Feb","2640018"
"1990-03-31","1990Mar","2637361"
"1990-04-30","1990Apr","2657070"
"1990-05-31","1990May","2663708"
"1990-06-30","1990Jun","2788776"
"1990-07-31","1990Jul","2802055"
"1990-08-31","1990Aug","2792895"
"1990-09-30","1990Sep","2833827"
"1990-10-31","1990Oct","2841866"
"1990-11-30","1990Nov","2865228"
"1990-12-31","1990Dec","2979949"
"1991-01-31","1991Jan","2937733"
"1991-02-28","1991Feb","2948421"
"1991-03-31","1991Mar","2958242"
"1991-04-30","1991Apr","2969617"
"1991-05-31","1991May","2975117"
"1991-06-30","1991Jun","3015354"
"1991-07-31","1991Jul","3021277"
"1991-08-31","1991Aug","3022624"
"1991-09-30","1991Sep","3046743"
"1991-10-31","1991Oct","3056240"
"1991-11-30","1991Nov","3093703"
"1991-12-31","1991Dec","3204633"
"1992-01-31","1992Jan","3150259"
"1992-02-29","1992Feb","3157064"
"1992-03-31","1992Mar","3175420"
"1992-04-30","1992Apr","3207099"
"1992-05-31","1992May","3234778"
"1992-06-30","1992Jun","3254263"
"1992-07-31","1992Jul","3262036"
"1992-08-31","1992Aug","3261386"
"1992-09-30","1992Sep","3305736"
"1992-10-31","1992Oct","3309880"
"1992-11-30","1992Nov","3348624"
"1992-12-31","1992Dec","3433178"
"1993-01-31","1993Jan","3397738"
"1993-02-28","1993Feb","3404686"
"1993-03-31","1993Mar","3444200"
"1993-04-30","1993Apr","3450204"
"1993-05-31","1993May","3472703"
"1993-06-30","1993Jun","3484325"
"1993-07-31","1993Jul","3480083"
"1993-08-31","1993Aug","3476439"
"1993-09-30","1993Sep","3488618"
"1993-10-31","1993Oct","3514086"
"1993-11-30","1993Nov","3546318"
"1993-12-31","1993Dec","3651774"
"1994-01-31","1994Jan","3616734"
"1994-02-28","1994Feb","3612780"
"1994-03-31","1994Mar","3629400"
"1994-04-30","1994Apr","3637715"
"1994-05-31","1994May","3634783"
"1994-06-30","1994Jun","3651632"
"1994-07-31","1994Jul","3651126"
"1994-08-31","1994Aug","3627118"
"1994-09-30","1994Sep","3624824"
"1994-10-31","1994Oct","3639444"
"1994-11-30","1994Nov","3659473"
"1994-12-31","1994Dec","3735799"
"1995-01-31","1995Jan","3695976"
"1995-02-28","1995Feb","3706630"
"1995-03-31","1995Mar","3702886"
"1995-04-30","1995Apr","3719385"
"1995-05-31","1995May","3734600"
"1995-06-30","1995Jun","3759170"
"1995-07-31","1995Jul","3751150"
"1995-08-31","1995Aug","3754951"
"1995-09-30","1995Sep","3776711"
"1995-10-31","1995Oct","3785241"
"1995-11-30","1995Nov","3823433"
"1995-12-31","1995Dec","3937403"
"1996-01-31","1996Jan","3906893"
"1996-02-29","1996Feb","3916561"
"1996-03-31","1996Mar","3931433"
"1996-04-30","1996Apr","3940690"
"1996-05-31","1996May","3946536"
"1996-06-30","1996Jun","3966021"
"1996-07-31","1996Jul","3953451"
"1996-08-31","1996Aug","3956604"
"1996-09-30","1996Sep","3973985"
"1996-10-31","1996Oct","3970778"
"1996-11-30","1996Nov","3998359"
"1996-12-31","1996Dec","4090345"
"1997-01-31","1997Jan","4052403"
"1997-02-28","1997Feb","4059918"
"1997-03-31","1997Mar","4070899"
"1997-04-30","1997Apr","4076852"
"1997-05-31","1997May","4112046"
"1997-06-30","1997Jun","4139717"
"1997-07-31","1997Jul","4137802"
"1997-08-31","1997Aug","4122478"
"1997-09-30","1997Sep","4137256"
"1997-10-31","1997Oct","4147939"
"1997-11-30","1997Nov","4186233"
"1997-12-31","1997Dec","4267311"
"1998-01-31","1998Jan","4257987"
"1998-02-28","1998Feb","4265866"
"1998-03-31","1998Mar","4275571"
"1998-04-30","1998Apr","4311419"
"1998-05-31","1998May","4339308"
"1998-06-30","1998Jun","4359628"
"1998-07-31","1998Jul","4352855"
"1998-08-31","1998Aug","4341651"
"1998-09-30","1998Sep","4336678"
"1998-10-31","1998Oct","4368588"
"1998-11-30","1998Nov","4398809"
"1998-12-31","1998Dec","4471961"
"1999-01-31","1999Jan","4463577"
"1999-02-28","1999Feb","4447594"
"1999-03-31","1999Mar","4459586"
"1999-04-30","1999Apr","4496031"
"1999-05-31","1999May","4529333"
"1999-06-30","1999Jun","4555934"
"1999-07-31","1999Jul","4563119"
"1999-08-31","1999Aug","4540771"
"1999-09-30","1999Sep","4561347"
"1999-10-31","1999Oct","4578653"
"1999-11-30","1999Nov","4625175"
"1999-12-31","1999Dec","4708947"
"2000-01-31","2000Jan","4723291"
"2000-02-29","2000Feb","4738473"
"2000-03-31","2000Mar","4768884"
"2000-04-30","2000Apr","4826279"
"2000-05-31","2000May","4820008"
"2000-06-30","2000Jun","4805383"
"2000-07-31","2000Jul","4802374"
"2000-08-31","2000Aug","4798357"
"2000-09-30","2000Sep","4794882"
"2000-10-31","2000Oct","4804690"
"2000-11-30","2000Nov","4832421"
"2000-12-31","2000Dec","4910328"
"2001-01-31","2001Jan","5026837"
"2001-02-28","2001Feb","5047544"
"2001-03-31","2001Mar","5090546"
"2001-04-30","2001Apr","5135593"
"2001-05-31","2001May","5174256"
"2001-06-30","2001Jun","5216143"
"2001-07-31","2001Jul","5209922"
"2001-08-31","2001Aug","5211887"
"2001-09-30","2001Sep","5263161"
"2001-10-31","2001Oct","5289730"
"2001-11-30","2001Nov","5343832"
"2001-12-31","2001Dec","5446737"
"2002-01-31","2002Jan","5430255"
"2002-02-28","2002Feb","5431228"
"2002-03-31","2002Mar","5468342"
"2002-04-30","2002Apr","5506616"
"2002-05-31","2002May","5549587"
"2002-06-30","2002Jun","5569629"
"2002-07-31","2002Jul","5562731"
"2002-08-31","2002Aug","5576687"
"2002-09-30","2002Sep","5622655"
"2002-10-31","2002Oct","5643922"
"2002-11-30","2002Nov","5714501"
"2002-12-31","2002Dec","5807825"
"2003-01-31","2003Jan","5805923"
"2003-02-28","2003Feb","5845442"
"2003-03-31","2003Mar","5889676"
"2003-04-30","2003Apr","5977504"
"2003-05-31","2003May","6021151"
"2003-06-30","2003Jun","6020728"
"2003-07-31","2003Jul","6028347"
"2003-08-31","2003Aug","6027513"
"2003-09-30","2003Sep","6017976"
"2003-10-31","2003Oct","6069018"
"2003-11-30","2003Nov","6119711"
"2003-12-31","2003Dec","6180922"
"2004-01-31","2004Jan","6172394"
"2004-02-29","2004Feb","6197448"
"2004-03-31","2004Mar","6225884"
"2004-04-30","2004Apr","6279744"
"2004-05-31","2004May","6303753"
"2004-06-30","2004Jun","6334158"
"2004-07-31","2004Jul","6362249"
"2004-08-31","2004Aug","6345512"
"2004-09-30","2004Sep","6376641"
"2004-10-31","2004Oct","6436042"
"2004-11-30","2004Nov","6469650"
"2004-12-31","2004Dec","6568176"
"2005-01-31","2005Jan","6581635"
"2005-02-28","2005Feb","6599810"
"2005-03-31","2005Mar","6627776"
"2005-04-30","2005Apr","6713297"
"2005-05-31","2005May","6765830"
"2005-06-30","2005Jun","6837023"
"2005-07-31","2005Jul","6889246"
"2005-08-31","2005Aug","6869183"
"2005-09-30","2005Sep","6925241"
"2005-10-31","2005Oct","6968588"
"2005-11-30","2005Nov","7001166"
"2005-12-31","2005Dec","7130670"
"2006-01-31","2006Jan","7120287"
"2006-02-28","2006Feb","7152523"
"2006-03-31","2006Mar","7212527"
"2006-04-30","2006Apr","7340883"
"2006-05-31","2006May","7371811"
"2006-06-30","2006Jun","7407431"
"2006-07-31","2006Jul","7417857"
"2006-08-31","2006Aug","7440735"
"2006-09-30","2006Sep","7545250"
"2006-10-31","2006Oct","7568435"
"2006-11-30","2006Nov","7629036"
"2006-12-31","2006Dec","7801675"
"2007-01-31","2007Jan","7824797"
"2007-02-28","2007Feb","7856264"
"2007-03-31","2007Mar","8014409"
"2007-04-30","2007Apr","8076317"
"2007-05-31","2007May","8166526"
"2007-06-30","2007Jun","8242225"
"2007-07-31","2007Jul","8298009"
"2007-08-31","2007Aug","8303861"
"2007-09-30","2007Sep","8395223"
"2007-10-31","2007Oct","8500092"
"2007-11-30","2007Nov","8593524"
"2007-12-31","2007Dec","8691439"
"2008-01-31","2008Jan","8785716"
"2008-02-29","2008Feb","8805948"
"2008-03-31","2008Mar","8877089"
"2008-04-30","2008Apr","8972245"
"2008-05-31","2008May","9060572"
"2008-06-30","2008Jun","9076946"
"2008-07-31","2008Jul","9108827"
"2008-08-31","2008Aug","9133022"
"2008-09-30","2008Sep","9198869"
"2008-10-31","2008Oct","9326351"
"2008-11-30","2008Nov","9367448"
"2008-12-31","2008Dec","9423780"
"2009-01-31","2009Jan","9400007"
"2009-02-28","2009Feb","9414395"
"2009-03-31","2009Mar","9406751"
"2009-04-30","2009Apr","9490159"
"2009-05-31","2009May","9462893"
"2009-06-30","2009Jun","9457503"
"2009-07-31","2009Jul","9420891"
"2009-08-31","2009Aug","9379997"
"2009-09-30","2009Sep","9378228"
"2009-10-31","2009Oct","9362116"
"2009-11-30","2009Nov","9341008"
"2009-12-31","2009Dec","9382249"
"2010-01-31","2010Jan","9326164"
"2010-02-28","2010Feb","9303401"
"2010-03-31","2010Mar","9313183"
"2010-04-30","2010Apr","9399886"
"2010-05-31","2010May","9427101"
"2010-06-30","2010Jun","9256526"
"2010-07-31","2010Jul","9242776"
"2010-08-31","2010Aug","9251623"
"2010-09-30","2010Sep","9248048"
"2010-10-31","2010Oct","9257331"
"2010-11-30","2010Nov","9270087"
"2010-12-31","2010Dec","9320772"
"2011-01-31","2011Jan","9309189"
"2011-02-28","2011Feb","9298648"
"2011-03-31","2011Mar","9328842"
"2011-04-30","2011Apr","9391507"
"2011-05-31","2011May","9391994"
"2011-06-30","2011Jun","9404391"
"2011-07-31","2011Jul","9405853"
"2011-08-31","2011Aug","9446140"
"2011-09-30","2011Sep","9465969"
"2011-10-31","2011Oct","9436921"
"2011-11-30","2011Nov","9448343"
"2011-12-31","2011Dec","9535047"
"2012-01-31","2012Jan","9495265"
"2012-02-29","2012Feb","9505535"
"2012-03-31","2012Mar","9605843"
"2012-04-30","2012Apr","9608370"
"2012-05-31","2012May","9646448"
"2012-06-30","2012Jun","9683132"
"2012-07-31","2012Jul","9712259"
"2012-08-31","2012Aug","9687649"
"2012-09-30","2012Sep","9700182"
"2012-10-31","2012Oct","9754761"
"2012-11-30","2012Nov","9759439"
"2012-12-31","2012Dec","9807968"
"2013-01-31","2013Jan","9747376"
"2013-02-28","2013Feb","9754428"
"2013-03-31","2013Mar","9803283"
"2013-04-30","2013Apr","9852611"
"2013-05-31","2013May","9854519"
"2013-06-30","2013Jun","9846649"
"2013-07-31","2013Jul","9838325"
"2013-08-31","2013Aug","9882187"
"2013-09-30","2013Sep","9843987"
"2013-10-31","2013Oct","9857474"
"2013-11-30","2013Nov","9885412"
"2013-12-31","2013Dec","9849473"
"2014-01-31","2014Jan","9852349"
"2014-02-28","2014Feb","9864753"
"2014-03-31","2014Mar","9878638"
"2014-04-30","2014Apr","9900284"
"2014-05-31","2014May","9970853"
"2014-06-30","2014Jun","9986860"
"2014-07-31","2014Jul","10017900"
"2014-08-31","2014Aug","10068184"
"2014-09-30","2014Sep","10077045"
"2014-10-31","2014Oct","10103037"
"2014-11-30","2014Nov","10196211"
"2014-12-31","2014Dec","10328136"
"2015-01-31","2015Jan","10395762"
"2015-02-28","2015Feb","10417314"
"2015-03-31","2015Mar","10460795"
"2015-04-30","2015Apr","10561864"
"2015-05-31","2015May","10598223"
"2015-06-30","2015Jun","10598578"
"2015-07-31","2015Jul","10673490"
"2015-08-31","2015Aug","10671135"
"2015-09-30","2015Sep","10666494"
"2015-10-31","2015Oct","10773953"
"2015-11-30","2015Nov","10838724"
"2015-12-31","2015Dec","10837680"
"2016-01-31","2016Jan","10904555"
"2016-02-29","2016Feb","10939097"
"2016-03-31","2016Mar","10965214"
"2016-04-30","2016Apr","11066330"
"2016-05-31","2016May","11105871"
"2016-06-30","2016Jun","11128074"
"2016-07-31","2016Jul","11220929"
"2016-08-31","2016Aug","11210074"
"2016-09-30","2016Sep","11213393"
"2016-10-31","2016Oct","11244902"
"2016-11-30","2016Nov","11340473"
"2016-12-31","2016Dec","11392603"
"2017-01-31","2017Jan","11417625"
"2017-02-28","2017Feb","11452748"
"2017-03-31","2017Mar","11556326"
"2017-04-30","2017Apr","11604768"
"2017-05-31","2017May","11621792"
"2017-06-30","2017Jun","11660114"
"2017-07-31","2017Jul","11696756"
"2017-08-31","2017Aug","11752142"
"2017-09-30","2017Sep","11766083"
"2017-10-31","2017Oct","11788559"
"2017-11-30","2017Nov","11857378"
"2017-12-31","2017Dec","11877248"
"2018-01-31","2018Jan","11872112"
"2018-02-28","2018Feb","11869183"
"2018-03-31","2018Mar","11934990"
"2018-04-30","2018Apr","11994585"
"2018-05-31","2018May","12078228"
"2018-06-30","2018Jun","12176780"
"2018-07-31","2018Jul","12168428"
"2018-08-31","2018Aug","12176185"
"2018-09-30","2018Sep","12196130"
"2018-10-31","2018Oct","12235319"
"2018-11-30","2018Nov","12321386"
"2018-12-31","2018Dec","12373339"
"2019-01-31","2019Jan","12363514"
"2019-02-28","2019Feb","12403001"
"2019-03-31","2019Mar","12533036"
"2019-04-30","2019Apr","12605570"
"2019-05-31","2019May","12685698"
"2019-06-30","2019Jun","12754282"
"2019-07-31","2019Jul","12810659"
"2019-08-31","2019Aug","12924231"
"2019-09-30","2019Sep","12894267"
"2019-10-31","2019Oct","12947688"
"2019-11-30","2019Nov","13048718"
"2019-12-31","2019Dec","13002239"
"2020-01-31","2020Jan","13016466"
"2020-02-29","2020Feb","13108025"
"2020-03-31","2020Mar","13457108"
"2020-04-30","2020Apr","13631385"
"2020-05-31","2020May","13841790"
"2020-06-30","2020Jun","13924722"
"2020-07-31","2020Jul","14024415"
"2020-08-31","2020Aug","14040950"
"2020-09-30","2020Sep","14126059"
"2020-10-31","2020Oct","14247563"
"2020-11-30","2020Nov","14370473"
"2020-12-31","2020Dec","14503859"
"2021-01-31","2021Jan","14574683"
"2021-02-28","2021Feb","14634655"
"2021-03-31","2021Mar","14716195"
"2021-04-30","2021Apr","14799076"
"2021-05-31","2021May","14908357"
"2021-06-30","2021Jun","14997805"
"2021-07-31","2021Jul","15168028"
"2021-08-31","2021Aug","15208831"
"2021-09-30","2021Sep","15233874"
"2021-10-31","2021Oct","15366674"
"2021-11-30","2021Nov","15449383"
"2021-12-31","2021Dec","15539534"
"2022-01-31","2022Jan","15547049"
"2022-02-28","2022Feb","15585399"
"2022-03-31","2022Mar","15684203"
"2022-04-30","2022Apr","15811452"
"2022-05-31","2022May","15856661"
"2022-06-30","2022Jun","15944249"
"2022-07-31","2022Jul","16067399"
"2022-08-31","2022Aug","16138626"
"2022-09-30","2022Sep","16181377"
"2022-10-31","2022Oct","16101153"
"2022-11-30","2022Nov","16152738"
"2022-12-31","2022Dec","16132894"
"2023-01-31","2023Jan","16043949"
"2023-02-28","2023Feb","16009790"
"2023-03-31","2023Mar","16004731"
"2023-04-30","2023Apr","16008310"
"2023-05-31","2023May","15991459"
"2023-06-30","2023Jun","15990627"
"2023-07-31","2023Jul","15985075"
"2023-08-31","2023Aug","15946117"
"2023-09-30","2023Sep","16000920"
"2023-10-31","2023Oct","15954577"
"2023-11-30","2023Nov","16020386"
"2023-12-31","2023Dec","16192555"
"2024-01-31","2024Jan","16058879"
"2024-02-29","2024Feb","16055612"
"2024-03-31","2024Mar","16179712"
"2024-04-30","2024Apr","16209902"
"2024-05-31","2024May","16238992"
"2024-06-30","2024Jun","16402088"
"2024-07-31","2024Jul","16390623"
"2024-08-31","2024Aug","16483891"
"2024-09-30","2024Sep","16527365"
"2024-10-31","2024Oct","16548435"
"2024-11-30","2024Nov","16732694"
"2024-12-31","2024Dec","16807105"
"2025-01-31","2025Jan","16719490"
