"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (transactions) (BSI.M.U2.N.V.M10.X.4.U2.2300.Z01.E)"
"1980-02-29","1980Feb","-4779"
"1980-03-31","1980Mar","7777"
"1980-04-30","1980Apr","1095"
"1980-05-31","1980May","3340"
"1980-06-30","1980Jun","14880"
"1980-07-31","1980Jul","-1123"
"1980-08-31","1980Aug","-6780"
"1980-09-30","1980Sep","6738"
"1980-10-31","1980Oct","-1270"
"1980-11-30","1980Nov","17255"
"1980-12-31","1980Dec","10663"
"1981-01-31","1981Jan","-16142"
"1981-02-28","1981Feb","-1327"
"1981-03-31","1981Mar","1400"
"1981-04-30","1981Apr","629"
"1981-05-31","1981May","8947"
"1981-06-30","1981Jun","8782"
"1981-07-31","1981Jul","-8487"
"1981-08-31","1981Aug","-3514"
"1981-09-30","1981Sep","8702"
"1981-10-31","1981Oct","-3015"
"1981-11-30","1981Nov","14503"
"1981-12-31","1981Dec","16007"
"1982-01-31","1982Jan","-10950"
"1982-02-28","1982Feb","-2492"
"1982-03-31","1982Mar","447"
"1982-04-30","1982Apr","2243"
"1982-05-31","1982May","10632"
"1982-06-30","1982Jun","13413"
"1982-07-31","1982Jul","-4356"
"1982-08-31","1982Aug","-1748"
"1982-09-30","1982Sep","8443"
"1982-10-31","1982Oct","3056"
"1982-11-30","1982Nov","15175"
"1982-12-31","1982Dec","17581"
"1983-01-31","1983Jan","-10126"
"1983-02-28","1983Feb","-1796"
"1983-03-31","1983Mar","-2442"
"1983-04-30","1983Apr","6197"
"1983-05-31","1983May","10565"
"1983-06-30","1983Jun","15379"
"1983-07-31","1983Jul","2829"
"1983-08-31","1983Aug","-11497"
"1983-09-30","1983Sep","3413"
"1983-10-31","1983Oct","6769"
"1983-11-30","1983Nov","12173"
"1983-12-31","1983Dec","26640"
"1984-01-31","1984Jan","-19605"
"1984-02-29","1984Feb","-6752"
"1984-03-31","1984Mar","-2010"
"1984-04-30","1984Apr","9151"
"1984-05-31","1984May","4102"
"1984-06-30","1984Jun","12819"
"1984-07-31","1984Jul","1399"
"1984-08-31","1984Aug","-13280"
"1984-09-30","1984Sep","18224"
"1984-10-31","1984Oct","-2154"
"1984-11-30","1984Nov","9621"
"1984-12-31","1984Dec","42238"
"1985-01-31","1985Jan","-24699"
"1985-02-28","1985Feb","-5539"
"1985-03-31","1985Mar","3353"
"1985-04-30","1985Apr","1682"
"1985-05-31","1985May","-2826"
"1985-06-30","1985Jun","24192"
"1985-07-31","1985Jul","-832"
"1985-08-31","1985Aug","-14576"
"1985-09-30","1985Sep","17910"
"1985-10-31","1985Oct","-697"
"1985-11-30","1985Nov","13117"
"1985-12-31","1985Dec","36852"
"1986-01-31","1986Jan","-33296"
"1986-02-28","1986Feb","-3542"
"1986-03-31","1986Mar","21056"
"1986-04-30","1986Apr","-809"
"1986-05-31","1986May","6398"
"1986-06-30","1986Jun","19459"
"1986-07-31","1986Jul","528"
"1986-08-31","1986Aug","-8575"
"1986-09-30","1986Sep","12024"
"1986-10-31","1986Oct","-3335"
"1986-11-30","1986Nov","23390"
"1986-12-31","1986Dec","29819"
"1987-01-31","1987Jan","-27320"
"1987-02-28","1987Feb","-9734"
"1987-03-31","1987Mar","8329"
"1987-04-30","1987Apr","9414"
"1987-05-31","1987May","8349"
"1987-06-30","1987Jun","23470"
"1987-07-31","1987Jul","-7663"
"1987-08-31","1987Aug","-7199"
"1987-09-30","1987Sep","11683"
"1987-10-31","1987Oct","-493"
"1987-11-30","1987Nov","21050"
"1987-12-31","1987Dec","27543"
"1988-01-31","1988Jan","-21865"
"1988-02-29","1988Feb","-11264"
"1988-03-31","1988Mar","-2423"
"1988-04-30","1988Apr","14839"
"1988-05-31","1988May","10569"
"1988-06-30","1988Jun","21035"
"1988-07-31","1988Jul","10051"
"1988-08-31","1988Aug","-20112"
"1988-09-30","1988Sep","3254"
"1988-10-31","1988Oct","14218"
"1988-11-30","1988Nov","15966"
"1988-12-31","1988Dec","37979"
"1989-01-31","1989Jan","-31348"
"1989-02-28","1989Feb","-10310"
"1989-03-31","1989Mar","1692"
"1989-04-30","1989Apr","11426"
